id,tag,id_ubication,id_direction,id_department,user,id_device,id_brand,id_model,serie,ip,id_status,transferDate,observation
1,000032,14,6,28,,22,8,226,S/S,,1,,
2,000063,14,5,24,,22,25,147,BAUHR0HLUYG34J,,1,,
3,000129,14,1,28,,22,8,226,S/S,,1,,
4,000237,9,6,31,,21,55,84,S/S,,1,,
5,000250,14,10,46,Disponible,13,8,57,CN-OVO72N-6418093909ML,,1,,
6,000251,14,5,24,,22,8,242,CN-ODJ41571616-89S0JJV,,1,,
7,001559,9,4,16,,22,30,205,99V1FY8,,1,,
8,001574,13,7,37,,22,25,241,BEXJLOCUEDO27A,,1,,
9,001779,9,4,10,,23,21,84,S/S,,1,,
10,001966,3,6,27,,27,56,128,9621AY0BC659800184,,2,,
11,002344,14,6,30,,22,23,141,S/S,,1,,
12,002725,14,10,46,,26,2,17,IM944812M2OG,,1,,Relaciones Públicas
13,002727,14,4,12,,22,2,287,S/S,,6,2025-07-24,Relaciones Públicas - Victor Carrillo
14,002738,12,7,39,,13,32,63,101UXZJ0C421,,2,,
15,002771,14,1,1,Revisión,12,25,212,S/S,,1,,
16,002779,14,8,44,,12,25,212,CNU1232046,,1,,
17,002783,14,10,46,,12,25,212,CNU1253P1,,2,,
18,002814,9,11,49,,12,25,211,CNU9392H9T,,1,,
19,002908,9,11,49,,13,25,163,3CQ0150QJ4,,1,,
20,002923,14,5,21,,10,25,55,CN15R3P5ZX,,1,,
21,002929,9,7,40,,10,5,119,U62248K1J321232,,2,,
22,002930,13,7,37,,10,5,175,U62272J1855767,,1,,
23,002961,14,5,22,,22,25,204,BAUVTOBHHOW4IB,,1,,Informática PH
24,003011,14,10,46,,13,25,163,3CQ0150Q8J,,1,,
25,003109,14,8,42,,23,6,43,FCH1429BKG9,,1,,
26,003116,14,6,30,,23,6,43,FCH1429BK42,,1,,
27,003123,14,6,27,,23,6,43,FCH14229BKFV,,1,,
28,003134,14,6,30,,23,6,43,FCH1429BK7E,,1,,
29,003148,14,4,12,,23,6,43,FCH1429BL0L,,6,2025-07-24,
30,003153,14,6,30,,23,6,43,FCH1429BKAX,,1,,
31,003160,14,1,1,,23,6,43,FCH1429BKB1,,1,,
32,003164,14,4,8,,23,6,43,FCH1429BKVK,,1,,
33,003168,14,10,46,,23,6,43,FCH1429BKAY,,1,,
34,003176,9,4,13,,23,6,48,FCH122782PA,,5,,
35,003182,14,4,13,,23,6,43,FCH1429BKEQ,,1,,
36,003187,14,5,24,,23,6,43,FCH1429PK6Y,,1,,
37,003193,14,10,46,,23,6,43,FCH1429BK7Y,,1,,
38,003203,14,10,46,,12,54,231,7B389214Q,,2,,
39,003210,14,4,13,,23,6,43,FCH149BKHH,,1,,
40,003217,14,4,13,,23,6,43,FCH1429BKAS,,1,,
41,003221,14,4,12,,23,6,44,FCH1429BK8P,,5,,
42,003225,14,6,28,,23,6,43,FCH1429BK9H,,1,,
43,003233,14,6,27,,23,6,43,FCH142998UH,,1,,
44,003305,14,11,47,,23,6,43,FCH1429BKGT,,1,,
45,003309,14,9,45,,23,6,43,FCH11429BKFT,,1,,
46,003313,14,10,46,,23,6,43,FCH122790HM,,1,,
47,003320,14,11,47,,23,6,43,FCH1429BKA3,,1,,
48,003324,14,6,28,,23,6,43,FCH1429BK7J,,1,,
49,003328,14,5,23,,23,6,43,FCH1429BKHR,,1,,Planilla PH
50,003340,14,10,46,,13,2,19,W81450FZ6JL,,1,,
51,003348,14,13,55,,23,6,76,FCH14279TXY,,1,,
52,003359,14,8,44,,23,6,43,FCH1429BKFH,,1,,
53,003363,14,6,25,,23,6,48,FCH1227AXYA,,1,,
54,003373,14,1,1,,23,6,48,S/S,,1,,
55,003394,14,4,8,,23,6,76,FCH14279TZP,,1,,
56,003411,14,12,53,,23,6,48,FCH12278M5P,,1,,
57,003418,14,10,46,,23,6,76,FCH14259LPU,,1,,
58,003426,14,1,1,,23,6,76,FCH14279TQX,,1,,
59,003467,14,10,46,,10,25,55,S/S,,1,,
60,003468,14,4,8,,23,6,47,FCH14289M29,,1,,
61,003509,14,8,44,,22,8,242,CN-0DJ41571616-967-1126,,1,,
62,003602,14,12,53,,23,49,165,11BO831162,,1,,
63,003626,14,4,12,Disponible,25,8,189,4CS14609NS,,6,2025-07-24,Relaciones Públicas
64,003627,14,12,53,,22,25,204,S/S,,1,,
65,003664,14,10,46,,22,20,130,WE2692009341,,2,,
66,003689,14,10,46,,26,25,39,MXL22015MH,,2,,
67,003705,14,6,30,,25,25,190,4CS204001P,,1,,
68,003706,14,6,30,,22,25,204,BAUVT0BHHIWDHB,,1,,
69,003709,7,6,27,,25,25,190,4CS2010N36,,1,,
70,003711,14,6,27,,25,25,190,4CS2030H3J,,1,,Asesoría Legal
71,003717,9,4,15,,25,25,190,4CS2030HCR,,1,,
72,003718,9,4,15,,22,25,204,537924-161,,1,,
73,003719,14,1,1,Revisión,25,25,190,4CS2030HFX,,1,,
74,003721,5,6,27,,25,25,190,4CS220509FQ,,1,,
75,003723,14,6,27,,25,25,190,4CS2010N3C,,1,,
76,003725,1,6,27,,25,25,190,4CS2030H32,,1,,
77,003726,14,10,46,,22,25,204,BAUVTOBHH1WE1U,,1,,24 de dic.
78,003729,5,6,27,,25,25,190,4CS2030HDB,,1,,
79,003730,14,6,26,,22,25,204,539130161,,1,,
80,003731,5,6,27,,25,25,190,4CS2030GYV,,1,,
81,003737,14,6,27,,25,25,190,4CS2030HSH,,1,,
82,003739,9,4,11,,25,25,190,4CS204003J,,1,,
83,003740,1,6,27,,22,25,204,BAUVT0BHH1WDIH,,1,,
84,003742,4,6,27,,22,25,204,BUVT0BHH1WE9K,,1,,
85,003743,14,4,12,Disponible,25,25,190,4CS2010M61,,6,2025-07-24,Relaciones Públicas
86,003747,11,6,33,,25,25,190,4CS204003K,,1,,
87,003748,14,4,12,,22,25,204,BAUVT0BHH1WD5R,,6,2025-07-24,Relaciones Públicas
88,003749,6,6,27,,25,25,190,4CS2030HBK,,1,,
89,003762,14,12,53,,9,60,84,WMAZA9300239,,1,,
90,003903,9,11,49,,26,25,37,MXL21700WR,,1,,
91,003904,14,6,25,,22,25,147,BHUROMVB2D1TA,,1,,
92,003939,14,12,53,,23,6,43,FCH12278M5X,,1,,
93,003945,14,6,25,,23,6,43,FCH1429BKAD,,1,,
94,003951,14,10,46,,22,20,130,WE2692009517,,1,,
95,003952,14,10,46,Disponible,22,20,130,WE2692009460,,1,,Relaciones Públicas
96,003953,14,6,27,,22,20,130,WE2692009455,,1,,
97,003978,14,10,46,Disponible,22,20,130,WE2692009356,,1,,Relaciones Públicas
98,003979,14,6,28,,22,20,130,WE2692009351,,1,,
99,004018,14,6,26,,22,8,133,CN-0KHCC7-7161625MOQR8A00,,1,,
100,004105,14,4,12,,13,30,169,V1PYD14,,5,,Informática
101,004106,14,4,12,,26,30,262,PBGVE07,,5,,Informática
102,004107,12,4,18,,22,25,245,03500130,,1,,
103,004138,14,6,32,,23,6,43,FCH12299ZZH,,1,,
104,004142,14,6,32,,23,6,48,FCH12299M5V,,1,,
105,004150,14,6,32,,23,6,43,FCH12299M9J,,1,,
106,004157,14,6,32,,23,6,48,789-836-223-1124,,1,,
107,004169,14,6,28,,23,6,43,FCH12299M8A,,1,,
108,004190,14,6,28,,23,6,43,FCH1429BKYT,,1,,
109,004201,14,6,28,,23,6,48,FCH1227AY59,,1,,
110,004208,14,6,28,,23,6,43,FCH12299MBV,,1,,
111,004215,14,6,28,,23,6,43,FCH12299MG3,,1,,
112,004220,7,6,27,,22,25,148,BCZZN0BVB3U25H,,1,,
113,004222,14,6,27,,23,6,43,S/S,,1,,
114,004261,14,4,8,,23,6,43,FCH12299MCN,,1,,
115,004268,14,6,27,,23,6,48,FCH12299M9K,,1,,
116,004273,14,1,1,,23,6,48,FCH1227AY22,,1,,
117,004277,14,1,1,,23,6,48,FCH12227AY32,,1,,
118,004284,14,6,27,,23,6,43,FCH1229QM8P,,1,,
119,004295,14,6,27,,23,6,48,FCH12278M3Y,,1,,
120,004301,14,10,46,Lizdieth Aguilar,23,6,47,FCH14289M1P,,1,,
121,004308,14,8,42,,23,6,48,FCH1227AXYE,,1,,
122,004314,14,11,47,,23,6,48,FCH1227AY21,,1,,
123,004317,14,11,47,,11,19,84,S/S,,1,,
124,004334,14,6,26,,23,6,43,FCH12299M1Q,,1,,
125,004339,14,6,26,,23,6,43,FCH12299M1Q,,1,,
126,004354,14,11,47,,23,6,43,FCH12288ZHK,,1,,
127,004360,14,10,46,,23,6,43,FCH12288ZOG,,1,,
128,004397,9,7,37,,23,62,236,4102312070405210*,,1,,
129,004399,9,11,51,,23,62,235,S/S,,1,,
130,004402,9,6,31,,23,62,235,41022312040404122*,,1,,
131,004403,9,7,35,,23,62,235,4102312040404124*,,1,,
132,004407,9,4,15,,23,62,235,4102312040404120*,,1,,
133,004408,9,7,35,,23,62,235,4102312040404128*,,1,,
134,004409,9,4,16,,23,62,236,41022312040404129*,,1,,
135,004410,9,11,48,,23,62,235,4102312040404130*,,1,,
136,004411,9,7,40,,23,62,235,4102312070405670*,,1,,
137,004412,9,11,47,,23,62,235,4102312070405660*,,1,,
138,004416,9,7,35,,27,1,31,4B02312070405671,,1,,
139,004419,9,4,17,,23,62,235,4102312070405670*,,1,,
140,004421,7,6,27,,23,62,236,4102312070405510!,,1,,
141,004422,7,5,22,,23,62,236,4102312070405520*,,1,,
142,004423,9,4,15,,23,62,235,4102312070405520*,,1,,
143,004424,9,4,14,,23,62,235,S/S,,1,,
144,004426,9,7,35,,23,62,235,4102312070405518*,,1,,
145,004430,7,5,23,,23,62,236,41022312070405500!,,1,,
146,004431,9,4,12,,23,62,236,4102312070404855*,,1,,
147,004434,9,7,40,,23,62,235,4102312070404854*,,1,,
148,004437,9,4,18,,23,62,236,4102312070404840*,,1,,
149,004438,9,7,35,,23,62,235,4102312070404852*,,1,,
150,004499,9,4,15,,23,62,235,4102312070405225*,,1,,
151,004529,14,10,46,,25,25,40,MXL30216WG,,1,,Dir. Administrativa
152,004530,12,7,37,,22,25,148,BCZZN0BVB3R0HS,,1,,
153,004531,14,6,28,,25,25,40,MXL30216W7,,1,,
154,004534,9,4,17,,10,25,155,CNG9DB81YN,172.16.20.174,1,,
155,004555,9,12,54,,25,25,37,MXL2480LMJ,,1,,
156,004704,14,5,21,,23,6,43,FCH1429BKHE,,1,,
157,004741,14,2,5,,23,6,48,FCH12288YDF,,1,,
158,004745,14,2,5,,23,6,48,FCH122882E5,,1,,
159,004751,14,2,5,,23,6,48,FCH12299MSC,,1,,
160,004757,14,2,5,,23,6,48,FCH122790TC,,1,,
161,004773,14,11,47,,23,6,43,FCH1429BL07,,1,,
162,004783,14,9,45,,23,6,43,FCH12299LZ5,,1,,
163,004792,14,6,25,,23,6,43,FCH1429BKM1,,1,,
164,004799,14,5,24,,23,6,43,FCH122999LZV,,1,,
165,004812,14,9,45,,23,6,48,FCH12278LWU,,1,,
166,004861,14,11,47,,21,38,84,NW223NXT061105202366,,1,,
167,004870,12,7,39,,22,25,204,BAUVTOBHHY0P8,,1,,
168,004897,14,4,20,,23,6,46,0004F2E89417,,1,,
169,004898,14,1,1,,14,49,224,S/S,,1,,
170,004912,14,4,9,,23,6,43,FCH1429BKCH,,1,,
171,004914,14,1,2,,23,6,43,FCH1429BKAZ,,1,,
172,004919,7,6,27,,25,25,40,MXL309101B,,1,,
173,004922,9,4,10,,22,25,148,CT-OBZZNODVB3U292,,1,,
174,004923,14,12,53,,25,25,40,MXL30911BD,,1,2025-05-02,
175,004924,14,12,53,,22,25,148,BCZZN0BVB3U2AN,,1,,
176,004928,9,7,40,,22,25,148,BCZZN0BVB3U21E,,1,,
177,004929,14,6,27,,25,25,40,MXL30911BF,,1,,
178,004931,14,4,12,,25,25,40,MXL30911BL,,6,2025-07-24,Contabilidad
179,004932,14,6,30,,22,25,148,BCZZN0B3U2AA,,1,,
180,004934,14,8,44,,22,25,148,BCZZN0BVB3U25D,,1,,
181,004937,9,10,46,,25,25,40,MXL30911BH,,5,,Planilla
182,004939,14,4,12,,25,25,40,MXL309100V,,6,2025-07-24,Presupuesto - Lineth Quirós
183,004940,14,11,50,,22,25,148,BCZZNOBVB3U2WN,,1,,
184,004941,14,10,46,Rosa Chong,25,25,40,MXL3091N,,1,,
185,004943,14,8,44,,25,30,69,IS3414DJSMJ587NS,,1,,
186,004951,14,10,46,Orlando Sanjur,23,6,47,FCH14289SDB,,1,,
187,004989,1,6,27,,22,25,241,BEXJLOBCP532AT,,1,,
188,005103,14,6,28,,25,30,171,MJ02RN,,1,,
189,005127,15,11,47,,23,6,28,FCH14308N8C,,5,,
190,005134,14,4,12,,23,6,48,FCH12278M3Q,,6,2025-07-24,Descarte
191,005135,14,6,25,,23,6,48,FCH12278M46,,1,,
192,005138,14,5,24,,23,6,43,FCH1429BKTT,,1,,
193,005139,14,5,21,,23,6,43,FCH1429BKGA,,1,,
194,005140,14,13,55,,23,6,47,FCH14289L8Z,,1,,
195,005142,14,4,13,,23,6,43,FCH1429BKDR,,1,,
196,005143,14,1,1,,23,6,43,FCH142996Q,,1,,
197,005145,14,5,21,,23,6,43,FCH1429BKYZ,,1,,
198,005146,14,8,44,,23,6,43,FCH1429BK96,,1,,
199,005148,14,12,53,,23,6,43,FCH1429BK9V,,1,,
200,005149,14,4,13,,23,6,43,FCH1429BKEZ,,1,,
201,005159,14,8,42,,23,6,43,FCH12288ZB0,,1,,
202,005160,14,4,12,,23,6,46,0004F2E8947E,,6,2025-07-24,Descarte
203,005161,14,10,46,,21,6,33,S/S,,1,,
204,005162,14,10,46,,21,6,33,S/S,,1,,
205,005163,14,10,46,,20,6,273,S/S,,1,,
206,005164,14,10,46,,20,6,273,S/S,,1,,
207,005168,14,4,13,,19,6,2,FTX1539E7SU,,1,,
208,005171,14,4,8,,19,6,2,FTX1539E7SK,,1,,
209,005172,14,11,47,,6,6,2,S/S,,1,,
210,005174,14,8,42,,23,6,43,FCH1429BK8M,,1,,
211,005175,14,10,46,,3,56,29,S/S,,1,,
212,005195,14,1,1,,25,30,13,MJ102BR,,1,,
213,005196,14,1,1,,22,30,146,4309969,,1,,
214,005197,14,6,30,,25,30,171,3548C8SMJ1O2RM,,1,,
215,005198,14,6,30,,22,30,146,1S54Y94244310022E,,1,,
216,005199,14,6,30,,25,30,171,1S35548C8SMJ221WY,,1,,
217,005200,14,10,46,,22,30,245,696059,,1,,Contabilidad
218,005201,14,6,30,,25,30,171,1S3548C8SMJ22IVH,,1,,
219,005202,14,4,12,,22,30,246,696041,,6,2025-07-24,Contabilidad
220,005203,14,4,12,,25,30,171,3548C8S MJ102RN,,5,,
221,005204,1,6,27,,22,30,146,4309977,,1,2025-05-02,
222,005205,14,6,30,,25,30,171,3548CSMJ102RK,,1,,
223,005206,14,6,30,,22,30,146,1S54Y9424309837E,,1,,
224,005207,11,7,37,,25,30,171,3548C85MJ10RX,,1,,
225,005208,11,7,37,,22,30,146,54Y9424,,1,,
226,005209,9,7,39,,25,30,13,3548C8SMJ102RC,,1,,
227,005211,14,11,47,Flor Corbalán,25,30,171,3548C8SMJ102RP,,1,2025-08-13,Contabilidad - Marlo Bonilla
228,005213,14,6,30,,25,30,171,1S3548C8SMJ22IXP,,1,,
229,005540,9,11,48,,10,25,156,VND3J55012,,1,,
230,005557,14,10,46,,15,8,6,52093W1,,1,,
231,005591,14,10,46,,28,40,288,2LBXD020927,,5,2025-07-29,Informática
232,005597,9,4,16,,25,30,259,S/S,,1,,
233,005598,9,4,16,,22,30,245,S/S,,1,,
234,005637,9,4,10,,22,25,84,CT-BCXSTOACP3K7X1,,1,,
235,005642,14,2,5,,25,25,84,21113748721,,1,,
236,005644,1,6,27,,25,25,84,5CM23808F9,,1,,
237,005645,14,10,46,,22,25,84,S/S,,2,,
238,005646,9,7,35,,25,25,36,5CM2370M4X,,1,,La doña
239,005655,14,4,12,,22,25,204,BCYSTOAHH3FABU,,6,2025-07-24,Agencia La Doña
240,005656,14,10,46,,25,25,36,5CM2380B7X,,1,,Comercialización
241,005657,14,4,12,,22,25,204,BCYSTOAHH3FODO,,5,,
242,005659,14,12,53,,22,25,204,BCYST0AHH3F396,,1,,
243,005660,14,5,24,,25,25,36,5CM238082H,,1,,
244,005665,5,6,27,,22,25,241,BCYSTOACP4D94X,,1,,
